不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
犬马之劳,愿象犬马那样为君主奔走效力。表示心甘情愿受人驱使，为人效劳。
束手无策,策：办法。遇到问题，就象手被捆住一样，一点办法也没有。
黯然失色,黯然：心神沮丧的样子；失色：因惊慌或其他原因变了脸色。比喻相比之下，事物仿佛失去原有的色泽、光彩
固执己见,固：顽固；执：坚持。顽固地坚持自己的意见，不肯改变
狗拿耗子,比喻做外行事或多管闲事
以小见大,从小的可以看出大的，指通过小事可以看出大节，或通过一小部分看出整体。
时过境迁,迁：变动。随着时间的推移，情况发生变化。
迷人眼目,迷惑他人视线，使人分辨不清。指耍花招欺骗人。
双宿双飞,宿在一起，飞在一起。比喻相爱的男女形影不离。
价廉物美,东西价钱便宜，质量又好。
残暴不仁,凶狠毒辣，一点也没有同情、怜悯之心。
时运不济,时机和命运不佳。 
天理昭彰,昭彰：明显。旧称天能主持公道，善恶报应分明。
泛滥成灾,泛滥：江河湖泊的水四处溢出。比喻坏的思想言行到处传播，造成危害
隐忍不发,亦作“隐忍不言”。克制忍耐，不向人发泄、透露。
海晏河清,黄河水清了，大海没有浪了。比喻天下太平。
无为而治,无为：无所作为；治：治理。自己无所作为而使天下得到治理。原指舜当政的时候，沿袭尧的主张，不做丝毫改变。后泛指以德化民。
根深柢固,比喻基础深厚，不容易动摇。
大有起色,明显地出现好转的样子（多指焕散的工作或觉重的疾病）。
文从字顺,从：服从，顺从；顺：通顺。指文章通顺。
妄自尊大,过高地看待自己。形容狂妄自大，不把别人放眼里。
脉脉含情,脉脉：两眼凝神，要向别人诉说心曲的样子。饱含温情，默默地用眼神表达自己的感情。形容用眼神或行动默然地表达情意。
天造地设,造：制作；设：安排。指事物自然形成，合乎理想，不必再加人工。
装疯卖傻,故意装成疯疯癫癫，傻里傻气。
无出其右,出：超出；右：上，古代以右为尊。没有能超过他的。
目无尊长,不把尊长放在眼里。形容狂妄无礼
大同小异,大体相同，略有差异。
落井下石,看见人要掉进陷井里，不伸手救他，反而推他下去，又扔下石头。比喻乘人有危难时加以陷害。
怙恶不悛,怙：依靠，依仗；悛：改过。悔改。坚持作恶，不肯悔改。
是是非非,把对的认为是对的，把错的认为是错的。比喻是非、好坏分得非常清楚。
故态复萌,故态：老脾气，老样子；复：又；萌：发生。指旧的习气或毛病等又出现了。
大惑不解,感到非常迷惑，不能理解。
众口铄金,铄：熔化。形容舆论力量大，连金属都能熔化。比喻众口一词可以混淆是非。
知足常乐,知道满足，就总是快乐。形容安于已经得到的利益、地位。
虎入羊群,老虎跑进羊群。比喻强大者冲入柔弱者中间任意砍杀。
普渡众生,众生：指一切有生命的动物及人。佛教语。普遍引渡所有的人，使他们脱离苦海，登上彼岸
卑鄙无耻,卑鄙：指品质行为恶劣。品行恶劣，不顾羞耻
溜须拍马,比喻讨好奉承。
衣食父母,指生活所依赖的人。
敏而好学,敏：聪明。天姿聪明而且喜好学习。
不揣冒昧,用于没有慎重考虑就轻率行事的客气话。
历历可见,历历：分明、清楚。看得清清楚楚
绿林好汉,绿林：古代山名。指聚集山林反抗封建统治阶级的人们
鲜艳夺目,色彩鲜美艳丽，十分引人注目。 
弯弯曲曲,曲折不直的
重生父母,重：重新。指对自己有重大恩情的人，多指救命的恩人。
咄咄怪事,表示吃惊的声音。形容不合常理，难以理解的怪事。
报仇雪恨,雪：洗刷掉。报冤仇，除仇恨。
血流如注,形容血流得急而多。
白璧无瑕,璧：中间有孔的扁圆形玉器；瑕：玉上的斑点。比喻人的品德或事物完美无缺
万箭攒心,攒：聚集。象万枝箭聚在心上。形容万分伤痛。
胸无大志,心里没有远大志向。
撒豆成兵,撒放豆子，变成军队。传说中谓散布豆类即能变成军队的一种魔法。旧小说戏曲中所说的一种法术。
非亲非故,故：老友。不是亲属，也不是熟人。表示彼此没有什么关系。
用心良苦,费劲心血
思前想后,思：考虑；前：前因；后：后果。对事情发生的缘由，发展后果，作再三考虑。
通风报信,把对立双方中一方的机密暗中告诉另一方。
能言善辩,善：擅长；辩：辩论。形容很会说话，善于辩论，口才好
天崩地裂,象天塌下、地裂开那样。比喻重大的事变。
鬼使神差,使、差：指使。好象有鬼神在支使着一样，不自觉地做了原先没想到要做的事。
古稀之年,稀：少。指人到七十岁。
耐人咀嚼,指耐人寻味
无足重轻,同“无足轻重”。
腰缠万贯,腰缠：指随身携带的财物；贯：旧时用绳索穿钱，每一千文为一贯。比喻钱财极多。
卖官卖爵,收受钱财，出卖官爵
重蹈覆辙,蹈：踏；覆：翻；辙：车轮辗过的痕迹。重新走上翻过车的老路。比喻不吸取教训，再走失败的老路。
生老病死,佛教指人的四苦，即出生、衰老、生病、死亡。今泛指生活中生育、养老、医疗、殡葬。
脱缰之马,比喻没有了约束的人或失去了控制的事物。
相敬如宾,形容夫妻互相尊敬，象对等宾客一样。
月落乌啼,形容天色将明未明时的景象。
可想而知,不用说明就能想象得到。
国破家亡,国家覆灭、家庭毁灭。
明月清风,只与清风、明月为伴。比喻不随便结交朋友。也比喻清闲无事。
模模糊糊,思想上不清晰使迷惑。 

贼心不死,不放弃坏念头，而继续做下去
一无所得,什么也没有得到。形容毫无收获。
珠联璧合,璧：平圆形中间有孔的玉。珍珠联串在一起，美玉结合在一块。比喻杰出的人才或美好的事物结合在一起。
痛改前非,痛：彻底；非：错误。彻底改正以前所犯的错误。
百废待兴,待：等待；兴：举办。各种荒废的事业都有待重新办起来
玩火自焚,玩：玩弄；焚：烧。玩火的必定会烧了自己。比喻干冒险或害人的勾当，最后受害的还是自己。
无肠公子,指螃蟹。
坐井观天,坐在井底看天。比喻眼界小，见识少。
尸横遍野,尸体到处横着。形容死者极多。
头破血流,头打破了，血流满面。多用来形容惨败。
十字街头,指纵横交叉、繁华热闹的街道。也借指人世间，现实社会。
窥豹一斑,从竹管的小孔里看豹，只看到豹身上的一块斑纹。比喻只看到事物的一部分，指所见不全面或略有所得。
风流倜傥,风流：有才学而不拘礼法；倜傥：卓异，洒脱不拘。形容人有才华而言行不受世俗礼节的拘束。
乱世英雄,乱世：动乱的不安定的时代；英雄：才能勇武超过常人的人。混乱动荡时代中的杰出人物。
宠辱皆忘,受宠或受辱都毫不计较。常指一种通达的超绝尘世的态度。
珠围翠绕,珠：珍珠；翠：翡翠。形容妇女妆饰华丽。也形容富贵人家随侍的女子众多。
窗明几净,几：小桌。形容房间干净明亮。
冷若冰霜,冷得象冰霜一样。比喻待人接物毫无感情，象冰霜一样冷。也比喻态度严正，不可接近。
白璧微瑕,洁白的玉上有些小斑点。比喻很好的人或物有些小缺点，美中不足。
义正词严,义：道理。词：言辞。道理正当公允，严肃的措词。亦作“义正辞严”、“辞严义正”、“辞严意正”、“词严理正”、“正义严辞”。
油盐酱醋,①泛指烹调佐料。比喻另外添加的原来没有的内容。②指琐碎庸俗。
疑信参半,指半信半疑。
翻箱倒箧,翻：倒，反转；箧：小箱子。把箱子柜子都翻倒过来。形容彻底翻检。
厚此薄彼,重视或优待一方，轻视或怠慢另一方。比喻对两方面的待遇不同。
安堵如故,堵：墙壁，居所。故：原来的。像原来一样相安无事。
忍辱负重,为了完成艰巨的任务，忍受暂时的屈辱。
大言不惭,说大话，不感到难为情。
穿云裂石,穿破云天，震裂石头。形容声音高亢嘹亮。
流水无情,流水一去不复返，毫无情意。比喻时光消逝，无意停留。
凶相毕露,毕：尽，全。凶恶的面目完全暴露了出来。指原来伪装和善，遇事就露出了本相。
一言为定,一句话说定了，不再更改。比喻说话算数，决不翻悔。
半壁江山,半壁：半边；江山：比喻国家疆土。指在敌人入侵后残存或丧失的部分国土。
蓬荜生辉,蓬荜：编蓬草、荆竹为门，形容穷苦人家。使寒门增添光辉（多用作宾客来到家里，或赠送可以张挂的字画等物的客套话）。
引以为荣,以此事为光荣
人穷志短,穷：困厄；短：短小。人的处境困厄，志向也就小了。
昏昏沉沉,形容头脑迷糊，神志不清
野人献曝,比喻贡献的不是珍贵的东西。（向人建议时的客套话）。
一蹴而就,蹴：踏；就：成功。踏一步就成功。比喻事情轻而易举，一下子就成功。
多才多艺,具有多方面的才能和技艺。
伐性之斧,伐：砍伐；性：性命，生机。砍毁人性的斧头。比喻危害身心的事物。
游手好闲,指人游荡懒散，不愿参加劳动。
造谣中伤,中伤：攻击和陷害别人。制造谣言，陷害别人。
再衰三竭,竭：尽。指力量一再消耗，已经衰减耗竭。
一板一眼,比喻言语、行动有条理或合规矩。有时也比喻做事死板，不懂得灵活掌握。
势不可挡,来势迅猛，不可抵挡。
地北天南,谓四处，到处。
不仁不义,仁：仁爱；义：道义。不讲仁德，不讲道义。形容品性卑劣、刻薄残忍
自食其言,指说了话不算数。
棋逢敌手,比喻彼此本领不相上下。
不相闻问,闻问：通消息，通音讯。指没有联系或断绝往来。
才华横溢,才华：表现于外的才能。多指文学艺术方面而言，很有才华
物阜民丰,物产丰富，人民安乐
景星庆云,庆云：五色云，象征吉祥。比喻吉祥的征兆
呜呼哀哉,呜呼：叹词；哉：语气助词。原为表示哀痛的感叹语，旧时祭文中常用。现用以指死亡或完蛋。
快人快语,直爽的人说直爽的话。
七上八下,形容心里慌乱不安。
不相为谋,谋：商量。相互之间没法商量。指彼此观点不同，不宜共同谋划事情。
如狼似虎,象狼和虎一样凶狠。比喻非常凶暴残忍。
包举宇内,包举：统括；宇内：天地之间，即天下。并吞天下，占有一切。
鸡鸣起舞,指胸怀大志、及时奋发的豪壮气概。
掩口葫芦,捂着嘴笑。
衣食住行,泛指穿衣、吃饭、住房、行路等生活上的基本需要。
慷慨淋漓,淋漓：充盛，畅快。形容说话、写文章意气昂扬，言辞畅快
重于泰山,比泰山还要重。形容意义重大。
移风易俗,移：改变；易：变换。改变旧的风俗习惯。
大有裨益,裨益：益处、好处。形容益处很大。
半夜三更,一夜分为五更，三更是午夜十二时。指深夜。
敲榨勒索,见“敲诈勒索”。
五方杂处,五方：东南西北中，泛指各处；处：住。形容大城市的居民，从什么地方来的人都有。
徒有虚名,空有名望。指有名无实。
莫可名状,名：用言语说出；状：描绘，形容。不能用言语来形容。指事物极复杂微妙，无法描述。
